Name,姓名,Linked to,社會關係人姓名,Kin/Non,Link,聯繫,Index Place,指數地址,Index Year,Node's Index Year,PersonID,NodeID,X,Y,Node Index Place,社會關係人籍貫,Node X,Node Y,Edge Dist.,Count,Addr. Type,指數地址類,Node Addr. Type,關係人指數地址類,Text Title:,Distance 距離,Index Year Type,指數年類別,Index Year Type Code,Node Index Year Type,關係人指數年類別,Node Index Year Type Code,Dynasty,朝代,Dynasty Code,Node Dynasty,關係人朝代,Node Dynasty Code,Source,出處
Chang Gun,常袞,Li Yi,李益,N,Presented literary composition as gift to,贈詩、文,Chang'an,長安,0,748,3006,33487,108.906976,34.246423,Guancheng,管城,113.641312,34.758076,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],437.508301,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Chang Gun,常袞,Li Shi,李適,N,Presented literary composition as gift to,贈詩、文,Chang'an,長安,0,663,3006,92999,108.906976,34.246423,Wannian,萬年,108.937189,34.317987,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],8.427824989,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Chang Gun,常袞,Xu Hao,徐浩,N,Presented literary composition as gift to,贈詩、文,Chang'an,長安,0,703,3006,94305,108.906976,34.246423,Yan Xian,剡縣,120.815277,29.58749,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1236.471823,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Chang Gun,常袞,Dugu Shi(Zhen Yi Empress),獨孤氏（貞懿皇后）,N,Lamentation prayer written by,哀辭由Y所作,Chang'an,長安,0,730,3006,444816,108.906976,34.246423,Sanyuan,三原,108.798811,34.794427,2,1,Basic Affiliation,籍貫(基本地址),Burial Address,葬地,,61.73577667,Based on Birth Year,據生年,1,Based on Husband's Birth Year + 3,據其夫生年 + 3,3,Tang,唐,6,Tang,唐,6,Weizhi,未知
Chang Gun,常袞,Xue Yong,薛邕,N,Presented literary composition as gift to,贈詩、文,Chang'an,長安,0,,3006,448799,108.906976,34.246423,,,,,2,1,Basic Affiliation,籍貫(基本地址),,,[n/a],,Based on Birth Year,據生年,1,,,,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Zhang Jiugao,張九皋,N,Presented literary composition as gift to,贈詩、文,Qujiang,曲江,678,690,3130,3129,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,3,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Pei Yaoqing,裴耀卿,N,Poems composed with,相唱和,Qujiang,曲江,678,681,3130,11765,113.603417,24.810209,Jishan,稷山,110.978828,35.602161,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1226.072731,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,wang wei nian pu,王維年譜
Zhang Jiuling,張九齡,Pei Yaoqing,裴耀卿,N,Received literary composition as gift from,收到Y的贈詩、文,Qujiang,曲江,678,681,3130,11765,113.603417,24.810209,Jishan,稷山,110.978828,35.602161,2,2,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1226.072731,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Xiao Song,蕭嵩,N,Poems composed with,相唱和,Qujiang,曲江,678,670,3130,12261,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,wang wei nian pu,王維年譜
Zhang Jiuling,張九齡,Zhang Jiuzhang,張九章,N,Presented literary composition as gift to,贈詩、文,Qujiang,曲江,678,0,3130,12376,113.603417,24.810209,Qujiang,曲江,113.603417,24.810209,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],0,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Han Xiu,韓休,N,Poems composed with,相唱和,Qujiang,曲江,678,672,3130,22451,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,wang wei nian pu,王維年譜
Zhang Jiuling,張九齡,Yao Chong,姚崇,N,Presented literary composition as gift to,贈詩、文,Qujiang,曲江,678,651,3130,26935,113.603417,24.810209,Luoyang,洛陽,112.38263,34.665276,2,2,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1102.123352,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Xu Jian,徐堅,N,Epitaph written for,為Y作墓誌銘,Qujiang,曲江,678,659,3130,30388,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,Weizhi,未知
Zhang Jiuling,張九齡,Wei Kang,韋抗,N,Presented literary composition as gift to,贈詩、文,Qujiang,曲江,678,667,3130,31046,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
Zhang Jiuling,張九齡,Wei A,韋A,N,Epitaph written for,為Y作墓誌銘,Qujiang,曲江,678,668,3130,31048,113.603417,24.810209,Chang'an,長安,108.906976,34.246423,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1143.009188,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,Weizhi,未知
Zhang Jiuling,張九齡,Wei Sili,韋嗣立,N,Presented literary composition as gift to,贈詩、文,Qujiang,曲江,678,654,3130,31082,113.603417,24.810209,Yangwu,陽武,113.962967,35.051949,2,1,Basic Affiliation,籍貫(基本地址),Basic Affiliation,籍貫(基本地址),[n/a],1139.353668,Based on Birth Year,據生年,1,Based on Birth Year,據生年,1,Tang,唐,6,Tang,唐,6,tang wu dai ren jiao wang shi suo yin,唐五代人交往詩索引
