videoId,publishedAt,title,channel,channelId,description,viewCount,likeCount,commentCount,publishedAt_dtformat,publishedAt_yearmonth
FmnDXRJ7btE,2009-02-15T02:04:21Z,Peter Gabriel - The Book of Love,Carel Mendoza,UCuSfwjAx6Zqiblxr7MPiq8A,"Peter Gabriel's cover of The Magnetic Fields' song. It was also a song from the movie ""Shall We Dance?"" To be submitted as a ...",26135374,132063,7876,2009-02-15 02:04:21,2009-02
_M-ITD4sEF0,2024-10-14T10:57:27Z,Man like him🔥🥵#love #trending #aesthetic #couples #romance #ytshorts #books #fypシ゚viral #viralvideo,Shadow girl🖤,UColuhONcyZhwoRUz0JZIQ-Q,Man like him   #love #trending #aesthetic #couples #romance #ytshorts #books #fypシ゚viral #viralvideo.,22941063,706432,1878,2024-10-14 10:57:27,2024-10
iXBtVd7RGHQ,2024-02-21T23:16:19Z,books where she falls for the villain #books #booktube #bookish #shorts,Soph’s Stories,UCxDXYjsKm03BU78UnJkRyKA,,10809887,566540,4195,2024-02-21 23:16:19,2024-02
_K9ljt030Es,2022-05-23T12:43:38Z,5 star book recommendations 📚 #shorts,Joe Wilkinson,UC3ikQDTf-a4Ji1yTi6RyB8Q,,6383281,260321,3242,2022-05-23 12:43:38,2022-05
cjilD0Q_ClQ,2023-10-11T20:58:35Z,Gangster&#39;s wife🤌🏻✨  #darkromance #fictionalcharacters #bookstagram #morallygrey #romancebooktube,The Fictoromantic,UCcRNJeo05qst6NgGZBCP9bQ,fictionalcharacters #darkromance #romancebooktube #romancebookseries #zade #meadows #hunting #haunting #adeline ...,4785074,0,2788,2023-10-11 20:58:35,2023-10
RksYb9HtLKU,2024-04-01T12:00:30Z,Have you read the &quot;one horse&quot; trope in Romance books?,Elisabeth Wheatley,UCBsfa5_i4gPu4gk5lIuSAGA,"Have you read the ""one horse"" trope in Romance books? I'm at a definite disadvantage when it comes to enjoying this one. I've ...",4629288,378177,2947,2024-04-01 12:00:30,2024-04
xuDyU02nzPM,2023-01-22T20:17:50Z,I love these books🫶🏻 #booktok #booktube #books #bookreview #bookhaul #bookrecommendations #fyp,MacKenzie Markiewicz,UCLZ8m3eVdkrLonYZ0E7AQRg,Books I would sell my soul to read for the first time again.,4492159,297485,2822,2023-01-22 20:17:50,2023-01
LfVvHyOIFqI,2024-12-03T09:12:05Z,Love book part 1 #lovestory #story,PrankMasterhsr2,UCoZBEGrBuTltn0gNyJ_Twwg,,4444183,244170,132,2024-12-03 09:12:05,2024-12
wBjW5SRQdRo,2024-03-17T14:48:01Z,books every teenage girl should read 💫🫶 #booktube #bookrecommendations,Maya Venice,UCELA7JTLQ79wa5fIPB4pFsw,,4059308,269709,3473,2024-03-17 14:48:01,2024-03
1aWr0Eb-uuw,2023-04-09T21:20:27Z,Enter our book boyfriends 😈 Zade Meadows | Aaron Warner | Haunting Adeline | Shatter Me,laxreads,UCvN7m2Ps9l6q3gMA5NEWHNg,,3677750,190464,1567,2023-04-09 21:20:27,2023-04
d3s2XxjOgu4,2025-01-16T01:14:37Z,the fact that he IS ACTUALLY on the cover of romance books 🤪 @FashionNova #fashionnovapartner,QuincieandZach,UC0alu9hNIAo2RdT-zNipI-A,Q is wearing the Malibu fleece wide leg sweat set & Zach is wearing Rylan wide cargo pants and Lincoln Park oversized Tee ...,3258323,210699,522,2025-01-16 01:14:37,2025-01
Gsuu_QyihDA,2022-11-27T16:19:22Z,i read this terrible tiktok student-teacher romance so you don&#39;t have to,The Book Leo,UCkSMDOtrKr43OGSSmKnx6tQ,join my patreon for our book club + reader community: https://www.patreon.com/thebookleo watch the video about gothikana by ...,3117203,133783,8977,2022-11-27 16:19:22,2022-11
1y4PwAgiRNQ,2024-12-03T10:10:13Z,Love book part 2 #lovestory #story,PrankMasterhsr2,UCoZBEGrBuTltn0gNyJ_Twwg,,2998830,144929,154,2024-12-03 10:10:13,2024-12
tW25XMbLvOY,2024-04-07T07:39:37Z,"Oh god, this is soo😩🤌❤️‍🔥🦋 #books #bookstagram #bookaesthetic #bookedits #lovereading #fiction #men",Fictional Life Boss,UCy5ROjKSjrkl1mTplRZsWXQ,LIKE COMMENT SUBSCRIBE #bookrecommendations #booktok #bookworm #booklover #booktube #lovers #friends #reply.,2341968,131275,918,2024-04-07 07:39:37,2024-04
kFmXJ5zhP74,2022-11-02T20:34:28Z,the best spicy fantasy romance book i’ve ever read. #booktok #bookrecommendations #enemiestolovers,Andie Cara,UC-_CXR9njp8mDF_iKKzcZDw,the best spicy fantasy romance book i've ever read. #booktok #bookrecommendations #enemiestolovers #enemiestoloversbooks ...,2082386,53364,488,2022-11-02 20:34:28,2022-11
shJgQCwPdsk,2022-01-19T13:23:22Z,lee jong suk✨|Romance is a bonus book(2019),kdramaxmel,UCHcHGKq9X_tNFRVVcF7XQoA,,2008381,94901,466,2022-01-19 13:23:22,2022-01
XBAOPkIt9Cw,2024-08-05T17:21:42Z,Bc ur mental health matters😂#darkromance #fiction #wattpad  #trend #trending #youtube #youtubeshort,The Fictoromantic,UCcRNJeo05qst6NgGZBCP9bQ,fictionalcharacters #darkromance #romancebooktube #romancebookseries #zade #meadows #hunting #haunting #adeline ...,1948598,0,750,2024-08-05 17:21:42,2024-08
Lp_qTtfvlUQ,2024-02-17T22:00:08Z,Nicknames in romances are the best #romancebooks #booktube #bookish #bookshelf #bookishthings,Tej | Booktube,UC4Jl4FLUvyCAZ0emJKdCwsQ,,1873889,122932,3315,2024-02-17 22:00:08,2024-02
Q65EFrXj4m8,2019-02-03T11:36:22Z,[MV] JANNABI (잔나비) - A Story I Couldn’t See (나는 볼 수 없던 이야기) Romance is A Bonus Book OST Part.1,DOM 덤스튜디오,UC4ulGP7S0wzT7pogzzBIhjg,로맨스는 별책부록 OST Part. 1 잔나비 – 나는 볼 수 없던 이야기 '공감'을 자극하며 큰 인기를 얻고 있는 tvN 드라마 '로맨스는 별책 ...,1728146,25004,887,2019-02-03 11:36:22,2019-02
uOUyGAoB8lE,2023-04-11T21:12:44Z,enemies to lovers | dark romance book | #enemiestolovers #darkromance #spicybooks #darkromancebooks,Villains Bookboyfriend,UCZiJtmnvzaPBmQY2drvDA0Q,shorts #short #enemiestolovers #booktube #kindleunlimited #spicybooks #darkromance #possessivehero #darkromancebooks ...,1551607,36897,540,2023-04-11 21:12:44,2023-04
KmFnltnpyiQ,2024-02-13T08:35:55Z,Book Series That Get Better With Each Book 📚🔖😍,Mike Reviews,UCjAc-wejId9ncXHt_a9nPFA,"book recommendations,booktok recommendations,book review,books to read,best books to read,books worth the hype,book haul ...",1515005,116647,1885,2024-02-13 08:35:55,2024-02
A1M_kFnsQ2Q,2023-04-27T15:54:57Z,He’s a 10 but… (book edition📚),JustAli,UC2l7c0_9kctwugTLEKoI5mQ,,1416609,71647,1563,2023-04-27 15:54:57,2023-04
uzb8bmaSVBs,2023-07-26T12:00:49Z,Lies about THE CRUEL PRINCE #Booktube #hollyblack,Elisabeth Wheatley,UCBsfa5_i4gPu4gk5lIuSAGA,,1340060,95152,1029,2023-07-26 12:00:49,2023-07
wd9A9ZjXCmY,2021-11-19T22:34:29Z,Accidentally Married by Victorine E. Lieske - Full Audiobook narrated by Jennifer Drake,Victorine E. Lieske,UC83zAZtc_QSieU6L4YTJp8g,"Listen to Accidentally Married by Victorine E. Lieske Madison Nichols, an aspiring actress, is floundering. Her rent is due and she ...",1315022,18866,1967,2021-11-19 22:34:29,2021-11
rYneXEY7xFU,2023-07-06T14:54:20Z,Zade MF Meadows | Haunting Adeline,laxreads,UCvN7m2Ps9l6q3gMA5NEWHNg,,1283963,56972,648,2023-07-06 14:54:20,2023-07
rTWTHZdcoxU,2024-01-28T07:01:18Z,Spicy Fantasy Books That Made Me Blush 📚🔖🌶️,Mike Reviews,UCjAc-wejId9ncXHt_a9nPFA,"book recommendations,booktok recommendations,book review,books to read,best books to read,books worth the hype,book haul ...",1161698,67177,343,2024-01-28 07:01:18,2024-01
y_XL8KiyJK8,2023-07-02T11:38:48Z,Zade Meadows and Adeline | Haunting Adeline | H D Carlton,laxreads,UCvN7m2Ps9l6q3gMA5NEWHNg,,1146828,51083,796,2023-07-02 11:38:48,2023-07
uBP1SU6fNco,2023-05-11T22:18:16Z,Books w the best Opening Lines,JustAli,UC2l7c0_9kctwugTLEKoI5mQ,,1001102,55905,851,2023-05-11 22:18:16,2023-05
Km-E1UFy1Xk,2023-05-07T21:15:11Z,Spicy book recs #booktok #bookstagram,Sasha Clinton,UCA0DFOWDurTmVCa15awgNWw,The book is In My Arms Tonight by Sasha Clinton.,967405,17656,0,2023-05-07 21:15:11,2023-05
nJS2tsQlIGY,2019-09-05T16:00:09Z,i read my airplane seatmate’s trash romance book and it was a mistake 🚩,withcindy,UC6i_QSkT7pCQH1llVVGd6cA,"Baby mamas, Vegas weddings, child endangerment… and still no semblance of a narrative. If only the author had used my link for ...",914538,45801,2702,2019-09-05 16:00:09,2019-09
39_kXqPcTRQ,2022-03-21T15:34:58Z,i read 7 romance books in 7 days to fill the void,Jack Edwards,UCBj244LMgn9I1JfPNeLMyew,love is in the air but I've got my face mask on. [ad] Microsoft To Do links: download my 2022 reading challenge and get Involved ...,911704,58943,2237,2022-03-21 15:34:58,2022-03
Shm1xvbrooI,2024-09-19T15:46:37Z,[Playlist] Dark Romance | Books| 🖤💋🍷,Book vibes,UC7aRZt1lyXfg978tSILiqXw,"Bienvenidas a la playlist de Dark Romance para leer tus mejores libros.   Si te gustó, dale like y suscríbete para mirar los ...",899374,24027,69,2024-09-19 15:46:37,2024-09
zjeXZEtEI2A,2019-02-01T01:00:03Z,Romance is a Bonus Book | Official Trailer [HD] | Netflix,Netflix Philippines,UCEnaoRpbxiSbAhBkuvODGpw,A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter ...,888470,3525,113,2019-02-01 01:00:03,2019-02
TdhAoxw_ho8,2024-08-08T13:53:36Z,bruhhhh #enemiestoloverstrope #enemiestoloversbooks #romancebooks #darkromancebooks #booktok,Reading core,UCnTcn4A1LfGKiNzzHx39DGw,,882281,25478,228,2024-08-08 13:53:36,2024-08
vQZRuWS0rE4,2023-03-21T17:34:21Z,My Favourite Romance Books | #RealTalkTuesday | MostlySane,MostlySane,UCvCyIiKSCA1fHKSCOKJyjXA,Pre-order My Book Now: https://bit.ly/m/TooGoodToBeTrueByPrajaktaKoli Click here to Subscribe :- http://bit.ly/PrajaktaKoli Click ...,863476,33114,2253,2023-03-21 17:34:21,2023-03
Ylq-50R-MK0,2024-12-26T10:28:29Z,Too good to be true is a Spice Romance book 🌶️🔥 #romancebooks #toogoodtobetrue #novel,Prajakta X Tuhin,UCKkbqGFaQe7YCjB_eIZziug,,856782,45273,87,2024-12-26 10:28:29,2024-12
_yXpb-0n5oQ,2019-03-11T00:33:42Z,#RomanceIsABonusBook Episode 14 Tteokbokki Scene,Lee Jong Suk,UCunKpe4RVtWY1THVMnmQIoQ,,849586,2145,48,2019-03-11 00:33:42,2019-03
FjJ-2zy4FXM,2022-06-10T19:43:46Z,my favorite romance books!! *no spice*,Haley Pham Vlogs,UC9bZAoR7AdfEkGs5KzFaPHw,main channel: https://www.youtube.com/c/haleypham ⭐️instagram: https://www.instagram.com/haleypham/ ⭐️merch: ...,778470,31130,1042,2022-06-10 19:43:46,2022-06
